Year,Santee.geo,Congaree.geo,Edisto.geo,Savannah.geo,GPD.geo
2013,0.54,0.456,0.006,0.006,0.006
2014,0.51,0.438,0.3,0.258,1.488
2015,0.462,0.666,0.36,0.234,0.492
2016,0.324,0.876,0.006,0.006,0.006
2017,0.732,0.66,0.06,0.18,0.498
2018,0.546,0.462,0.09,0.096,0.84
2019,0.426,0.306,0.084,0.048,0.564
2020,0.276,0.258,0.048,0.09,0.258
2021,0.738,0.492,0.132,0.108,0.654
2022,0.612,0.732,0.252,0.132,0.444
2023,0.402,0.462,0.09,0.108,0.27
2024,1.104,0.336,0.108,0.054,0.312
2025,0.372,0.21,,0.048,0.792
